Part Number,Part Description,Product Line,Active
20208,"COLLECTOR, SUNSAVER, 2 X 8",Direct - SunSaver,TRUE
20210,"COLLECTOR, SUNSAVER, 2 X 10",Direct - SunSaver,TRUE
20212,"COLLECTOR, SUNSAVER, 2 X 12",Direct - SunSaver,TRUE
20406,"COLLECTOR, SUNSAVER, 4 X 6",Direct - SunSaver,TRUE
20408,"COLLECTOR, SUNSAVER, 4 X 8",Direct - SunSaver,TRUE
20410,"COLLECTOR, SUNSAVER, 4 X 10",Direct - SunSaver,TRUE
20412,"COLLECTOR, SUNSAVER, 4 X 12",Direct - SunSaver,TRUE
21208,"COLLECTOR, 2X8, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
21210,"COLLECTOR, 2X10, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
21212,"COLLECTOR, 2X12, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
21406,"COLLECTOR, 4X6, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
21408,"COLLECTOR, 4X8, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
21410,"COLLECTOR, 4X10, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
21412,"COLLECTOR, 4X12, CT, BOXED, SINGLE",Direct - SunSaver,TRUE
22208,"COLLECTOR, 2X8, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
22210,"COLLECTOR, 2X10, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
22212,"COLLECTOR, 2X12, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
22406,"COLLECTOR, 4X6, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
22408,"COLLECTOR, 4X8, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
22410,"COLLECTOR, 4X10, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
22412,"COLLECTOR, 4X12, CT, BOXED, DOUBLE",Direct - SunSaver,TRUE
30208,"COLLECTOR, SUNSAVERST, 2 X 8",Direct - SunSaver ST,TRUE
30210,"COLLECTOR, SUNSAVERST, 2 X 10",Direct - SunSaver ST,TRUE
30212,"COLLECTOR, SUNSAVERST, 2 X 12",Direct - SunSaver ST,TRUE
30406,"COLLECTOR, SUNSAVERST, 4 X 6",Direct - SunSaver ST,TRUE
30408,"COLLECTOR, SUNSAVERST, 4 X 8",Direct - SunSaver ST,TRUE
30410,"COLLECTOR, SUNSAVERST, 4 X 10",Direct - SunSaver ST,TRUE
30412,"COLLECTOR, SUNSAVERST, 4 X 12",Direct - SunSaver ST,TRUE
31208,"COLLECTOR, 2X8, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
31210,"COLLECTOR, 2X10, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
31212,"COLLECTOR, 2X12, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
31406,"COLLECTOR, 4X6, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
31408,"COLLECTOR, 4X8, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
31410,"COLLECTOR, 4X10, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
31412,"COLLECTOR, 4X12, ST, BOXED, SINGLE",Direct - SunSaver ST,TRUE
9974,"SOLARCUB, SINGLE PANEL ONLY, 2X20, 2IN",Retail - SolarBear,TRUE
9975,"SOLARBEAR / SOLARCUB, STARTER KIT",Retail - SolarBear,TRUE
9976,"SOLARBEAR / SOLARCUB, ADD ON KIT",Retail - SolarBear,TRUE
10071,"SOLARBEAR, SINGLE PANEL ONLY, 3'9""X20, 2IN",Retail - SolarBear,TRUE
10080,"SOLARBEAR / SOLARCUB, HOSE AND CLAMP KIT",Retail - SolarBear,TRUE
10118,"SOLARBEAR / SOLARCUB, GROUND MOUNT RACK KIT",Retail - SolarBear,TRUE
290-2,"SunGrabber, System Double, 2x20, 1.5IN",Retail - Sungrabber,TRUE
